judet,an,mediu,numar_someri
ARAD,2024,barbati_urban,471
ARGES,2024,barbati_urban,432
BACAU,2024,barbati_urban,773
BIHOR,2024,barbati_urban,453
BISTRITA-NASAUD,2024,barbati_urban,610
BOTOSANI,2024,barbati_urban,559
BRAILA,2024,barbati_urban,506
BRASOV,2024,barbati_urban,727
BUZAU,2024,barbati_urban,524
CALARASI,2024,barbati_urban,466
CARAS-SEVERIN,2024,barbati_urban,589
CLUJ,2024,barbati_urban,669
CONSTANTA,2024,barbati_urban,634
COVASNA,2024,barbati_urban,461
DAMBOVITA,2024,barbati_urban,344
DOLJ,2024,barbati_urban,1110
GALATI,2024,barbati_urban,598
GIURGIU,2024,barbati_urban,139
GORJ,2024,barbati_urban,478
HARGHITA,2024,barbati_urban,712
HUNEDOARA,2024,barbati_urban,1995
IALOMITA,2024,barbati_urban,458
IASI,2024,barbati_urban,593
ILFOV,2024,barbati_urban,74
MARAMURES,2024,barbati_urban,789
MEHEDINTI,2024,barbati_urban,483
MURES,2024,barbati_urban,845
NEAMT,2024,barbati_urban,587
OLT,2024,barbati_urban,480
PRAHOVA,2024,barbati_urban,746
SALAJ,2024,barbati_urban,330
SATU MARE,2024,barbati_urban,519
SIBIU,2024,barbati_urban,609
SUCEAVA,2024,barbati_urban,1438
TELEORMAN,2024,barbati_urban,782
TIMIS,2024,barbati_urban,598
TULCEA,2024,barbati_urban,261
VALCEA,2024,barbati_urban,468
VASLUI,2024,barbati_urban,582
VRANCEA,2024,barbati_urban,203
BUCURESTI,2024,barbati_urban,4293
Total TARA,2024,barbati_urban,29110
ALBA,2019,total_rural,3087
ARAD,2019,total_rural,1790
ARGES,2019,total_rural,6342
BACAU,2019,total_rural,8533
BIHOR,2019,total_rural,2268
BISTRITA-NASAUD,2019,total_rural,2179
BOTOSANI,2019,total_rural,2517
BRAILA,2019,total_rural,3342
BRASOV,2019,total_rural,3936
BUZAU,2019,total_rural,9528
CALARASI,2019,total_rural,2576
CARAS-SEVERIN,2019,total_rural,1955
CLUJ,2019,total_rural,2580
CONSTANTA,2019,total_rural,2884
COVASNA,2019,total_rural,1867
DAMBOVITA,2019,total_rural,5709
DOLJ,2019,total_rural,15612
GALATI,2019,total_rural,9018
GIURGIU,2019,total_rural,1332
GORJ,2019,total_rural,3301
HARGHITA,2019,total_rural,3517
HUNEDOARA,2019,total_rural,1908
IALOMITA,2019,total_rural,3110
IASI,2019,total_rural,7080
ILFOV,2019,total_rural,662
MARAMURES,2019,total_rural,3182
MEHEDINTI,2019,total_rural,5137
MURES,2019,total_rural,4786
NEAMT,2019,total_rural,6429
OLT,2019,total_rural,6950
PRAHOVA,2019,total_rural,4317
SALAJ,2019,total_rural,3485
SATU MARE,2019,total_rural,2714
SIBIU,2019,total_rural,2169
SUCEAVA,2019,total_rural,8362
TELEORMAN,2019,total_rural,7561
TIMIS,2019,total_rural,1508
TULCEA,2019,total_rural,1885
VALCEA,2019,total_rural,3271
VASLUI,2019,total_rural,9272
VRANCEA,2019,total_rural,4258
BUCURESTI,2019,total_rural,0
Total TARA,2019,total_rural,181919
ALBA,2020,total_rural,3354
ARAD,2020,total_rural,2373
ARGES,2020,total_rural,7727
BACAU,2020,total_rural,8099
BIHOR,2020,total_rural,3104
BISTRITA-NASAUD,2020,total_rural,2397
BOTOSANI,2020,total_rural,2410
BRAILA,2020,total_rural,3294
BRASOV,2020,total_rural,3758
BUZAU,2020,total_rural,9828
CALARASI,2020,total_rural,2605
CARAS-SEVERIN,2020,total_rural,2135
CLUJ,2020,total_rural,3108
CONSTANTA,2020,total_rural,3356
COVASNA,2020,total_rural,2455
DAMBOVITA,2020,total_rural,5014
DOLJ,2020,total_rural,15582
GALATI,2020,total_rural,9030
GIURGIU,2020,total_rural,1597
GORJ,2020,total_rural,3333
HARGHITA,2020,total_rural,3818
HUNEDOARA,2020,total_rural,1837
IALOMITA,2020,total_rural,2912
IASI,2020,total_rural,7212
ILFOV,2020,total_rural,599
MARAMURES,2020,total_rural,2020
MEHEDINTI,2020,total_rural,4836
MURES,2020,total_rural,4285
NEAMT,2020,total_rural,6141
OLT,2020,total_rural,6979
PRAHOVA,2020,total_rural,5383
SALAJ,2020,total_rural,3805
SATU MARE,2020,total_rural,3749
SIBIU,2020,total_rural,2852
SUCEAVA,2020,total_rural,7840
TELEORMAN,2020,total_rural,6681
TIMIS,2020,total_rural,1800
TULCEA,2020,total_rural,1871
VALCEA,2020,total_rural,3673
VASLUI,2020,total_rural,6372
VRANCEA,2020,total_rural,4227
BUCURESTI,2020,total_rural,0
Total TARA,2020,total_rural,183451
ALBA,2024,total_rural,3463
ARAD,2024,total_rural,2037
ARGES,2024,total_rural,7020
BACAU,2024,total_rural,3869
BIHOR,2024,total_rural,3556
BISTRITA-NASAUD,2024,total_rural,3063
BOTOSANI,2024,total_rural,3312
BRAILA,2024,total_rural,3575
BRASOV,2024,total_rural,4884
BUZAU,2024,total_rural,5859
CALARASI,2024,total_rural,3227
CARAS-SEVERIN,2024,total_rural,1685
CLUJ,2024,total_rural,2940
CONSTANTA,2024,total_rural,2599
COVASNA,2024,total_rural,2563
DAMBOVITA,2024,total_rural,4414
DOLJ,2024,total_rural,16475
GALATI,2024,total_rural,8031
GIURGIU,2024,total_rural,1552
GORJ,2024,total_rural,3027
HARGHITA,2024,total_rural,3918
HUNEDOARA,2024,total_rural,2652
IALOMITA,2024,total_rural,3336
IASI,2024,total_rural,8723
ILFOV,2024,total_rural,705
MARAMURES,2024,total_rural,2361
MEHEDINTI,2024,total_rural,5627
MURES,2024,total_rural,4932
NEAMT,2024,total_rural,6620
OLT,2024,total_rural,6143
PRAHOVA,2024,total_rural,4592
SALAJ,2024,total_rural,4271
SATU MARE,2024,total_rural,4706
SIBIU,2024,total_rural,3833
SUCEAVA,2024,total_rural,9150
TELEORMAN,2024,total_rural,8363
TIMIS,2024,total_rural,1924
TULCEA,2024,total_rural,1914
VALCEA,2024,total_rural,1382
VASLUI,2024,total_rural,8452
VRANCEA,2024,total_rural,1978
BUCURESTI,2024,total_rural,0
Total TARA,2024,total_rural,182733
ALBA,2019,femei_rural,1286
ARAD,2019,femei_rural,890
ARGES,2019,femei_rural,2900
BACAU,2019,femei_rural,3487
BIHOR,2019,femei_rural,1108
BISTRITA-NASAUD,2019,femei_rural,1071
BOTOSANI,2019,femei_rural,1112
BRAILA,2019,femei_rural,1302
BRASOV,2019,femei_rural,1676
BUZAU,2019,femei_rural,3742
CALARASI,2019,femei_rural,1231
CARAS-SEVERIN,2019,femei_rural,881
CLUJ,2019,femei_rural,1171
CONSTANTA,2019,femei_rural,1349
COVASNA,2019,femei_rural,825
DAMBOVITA,2019,femei_rural,2662
DOLJ,2019,femei_rural,6198
GALATI,2019,femei_rural,3719
GIURGIU,2019,femei_rural,735
GORJ,2019,femei_rural,1478
HARGHITA,2019,femei_rural,1494
HUNEDOARA,2019,femei_rural,937
IALOMITA,2019,femei_rural,1387
IASI,2019,femei_rural,3059
ILFOV,2019,femei_rural,362
MARAMURES,2019,femei_rural,1545
MEHEDINTI,2019,femei_rural,2040
MURES,2019,femei_rural,2029
NEAMT,2019,femei_rural,2757
OLT,2019,femei_rural,2830
PRAHOVA,2019,femei_rural,2019
SALAJ,2019,femei_rural,1384
SATU MARE,2019,femei_rural,1184
SIBIU,2019,femei_rural,1014
SUCEAVA,2019,femei_rural,3560
TELEORMAN,2019,femei_rural,3030
TIMIS,2019,femei_rural,806
TULCEA,2019,femei_rural,900
VALCEA,2019,femei_rural,1502
VASLUI,2019,femei_rural,3629
VRANCEA,2019,femei_rural,1829
BUCURESTI,2019,femei_rural,0
Total TARA,2019,femei_rural,78120
ALBA,2020,femei_rural,1500
ARAD,2020,femei_rural,1311
ARGES,2020,femei_rural,3787
BACAU,2020,femei_rural,3627
BIHOR,2020,femei_rural,1801
BISTRITA-NASAUD,2020,femei_rural,1257
BOTOSANI,2020,femei_rural,1114
BRAILA,2020,femei_rural,1290
BRASOV,2020,femei_rural,1630
BUZAU,2020,femei_rural,3925
CALARASI,2020,femei_rural,1321
CARAS-SEVERIN,2020,femei_rural,951
CLUJ,2020,femei_rural,1622
CONSTANTA,2020,femei_rural,1625
COVASNA,2020,femei_rural,1171
