judet,an,nivel_educatie,numar_someri
OLT,2024,inv_liceal,1056
PRAHOVA,2024,inv_liceal,1028
SALAJ,2024,inv_liceal,454
SATU M.,2024,inv_liceal,347
SIBIU,2024,inv_liceal,521
SUCEAVA,2024,inv_liceal,1408
TELEORMAN,2024,inv_liceal,1012
TIMIS,2024,inv_liceal,876
TULCEA,2024,inv_liceal,493
VALCEA,2024,inv_liceal,878
VASLUI,2024,inv_liceal,978
VRANCEA,2024,inv_liceal,333
Total general,2024,inv_liceal,35820
ALBA,2019,inv_posticeal,37
ARAD,2019,inv_posticeal,22
ARGES,2019,inv_posticeal,80
BACAU,2019,inv_posticeal,57
BIHOR,2019,inv_posticeal,50
BISTRITA,2019,inv_posticeal,45
BOTOSANI,2019,inv_posticeal,51
BRAILA,2019,inv_posticeal,41
BRASOV,2019,inv_posticeal,54
BUZAU,2019,inv_posticeal,54
CALARASI,2019,inv_posticeal,26
CARAS,2019,inv_posticeal,61
CLUJ,2019,inv_posticeal,98
CONSTANTA,2019,inv_posticeal,43
COVASNA,2019,inv_posticeal,27
DAMBOVITA,2019,inv_posticeal,47
DOLJ,2019,inv_posticeal,82
GALATI,2019,inv_posticeal,100
GIURGIU,2019,inv_posticeal,7
GORJ,2019,inv_posticeal,99
HARGHITA,2019,inv_posticeal,48
HUNEDOARA,2019,inv_posticeal,118
IALOMITA,2019,inv_posticeal,35
IASI,2019,inv_posticeal,45
ILFOV,2019,inv_posticeal,6
MARAMURES,2019,inv_posticeal,79
MEHEDINTI,2019,inv_posticeal,25
MUN. BUC.,2019,inv_posticeal,291
MURES,2019,inv_posticeal,51
NEAMT,2019,inv_posticeal,78
OLT,2019,inv_posticeal,46
PRAHOVA,2019,inv_posticeal,72
SALAJ,2019,inv_posticeal,32
SATU M.,2019,inv_posticeal,11
SIBIU,2019,inv_posticeal,29
SUCEAVA,2019,inv_posticeal,182
TELEORMAN,2019,inv_posticeal,36
TIMIS,2019,inv_posticeal,41
TULCEA,2019,inv_posticeal,0
VALCEA,2019,inv_posticeal,83
VASLUI,2019,inv_posticeal,46
VRANCEA,2019,inv_posticeal,44
Total general,2019,inv_posticeal,2479
ALBA ,2020,inv_posticeal,63
ARAD,2020,inv_posticeal,98
ARGES,2020,inv_posticeal,158
BACAU,2020,inv_posticeal,89
BIHOR,2020,inv_posticeal,97
BISTRITA,2020,inv_posticeal,65
BOTOSANI,2020,inv_posticeal,60
BRAILA,2020,inv_posticeal,57
BRASOV,2020,inv_posticeal,91
BUZAU,2020,inv_posticeal,66
CALARASI,2020,inv_posticeal,39
CARAS,2020,inv_posticeal,74
CLUJ,2020,inv_posticeal,177
CONSTANTA,2020,inv_posticeal,77
COVASNA,2020,inv_posticeal,50
DAMBOVITA,2020,inv_posticeal,92
DOLJ,2020,inv_posticeal,379
GALATI,2020,inv_posticeal,114
GIURGIU,2020,inv_posticeal,16
GORJ,2020,inv_posticeal,184
HARGHITA,2020,inv_posticeal,75
HUNEDOARA,2020,inv_posticeal,119
IALOMITA,2020,inv_posticeal,48
IASI,2020,inv_posticeal,82
ILFOV,2020,inv_posticeal,7
MARAMURES,2020,inv_posticeal,117
MEHEDINTI,2020,inv_posticeal,89
MUN. BUC.,2020,inv_posticeal,302
MURES,2020,inv_posticeal,75
NEAMT,2020,inv_posticeal,100
OLT,2020,inv_posticeal,149
PRAHOVA,2020,inv_posticeal,140
SALAJ,2020,inv_posticeal,63
SATU M.,2020,inv_posticeal,23
SIBIU,2020,inv_posticeal,94
SUCEAVA,2020,inv_posticeal,147
TELEORMAN,2020,inv_posticeal,95
TIMIS,2020,inv_posticeal,99
TULCEA,2020,inv_posticeal,0
VALCEA,2020,inv_posticeal,158
VASLUI,2020,inv_posticeal,62
VRANCEA,2020,inv_posticeal,72
Total general,2020,inv_posticeal,4162
ALBA ,2024,inv_posticeal,49
ARAD,2024,inv_posticeal,28
ARGES,2024,inv_posticeal,95
BACAU,2024,inv_posticeal,36
BIHOR,2024,inv_posticeal,56
BISTRITA,2024,inv_posticeal,34
BOTOSANI,2024,inv_posticeal,33
BRAILA,2024,inv_posticeal,54
BRASOV,2024,inv_posticeal,49
BUZAU,2024,inv_posticeal,46
CALARASI,2024,inv_posticeal,42
CARAS,2024,inv_posticeal,34
CLUJ,2024,inv_posticeal,85
CONSTANTA,2024,inv_posticeal,36
COVASNA,2024,inv_posticeal,26
DAMBOVITA,2024,inv_posticeal,44
DOLJ,2024,inv_posticeal,85
GALATI,2024,inv_posticeal,49
GIURGIU,2024,inv_posticeal,12
GORJ,2024,inv_posticeal,73
HARGHITA,2024,inv_posticeal,39
HUNEDOARA,2024,inv_posticeal,130
IALOMITA,2024,inv_posticeal,30
IASI,2024,inv_posticeal,55
ILFOV,2024,inv_posticeal,8
MARAMURES,2024,inv_posticeal,70
MEHEDINTI,2024,inv_posticeal,52
MUN. BUC.,2024,inv_posticeal,225
MURES,2024,inv_posticeal,63
NEAMT,2024,inv_posticeal,69
OLT,2024,inv_posticeal,87
PRAHOVA,2024,inv_posticeal,97
SALAJ,2024,inv_posticeal,30
SATU M.,2024,inv_posticeal,27
SIBIU,2024,inv_posticeal,31
SUCEAVA,2024,inv_posticeal,90
TELEORMAN,2024,inv_posticeal,39
TIMIS,2024,inv_posticeal,45
TULCEA,2024,inv_posticeal,0
VALCEA,2024,inv_posticeal,68
VASLUI,2024,inv_posticeal,42
VRANCEA,2024,inv_posticeal,34
Total general,2024,inv_posticeal,2297
ALBA,2019,inv_profesional,749
ARAD,2019,inv_profesional,206
ARGES,2019,inv_profesional,1028
BACAU,2019,inv_profesional,1090
BIHOR,2019,inv_profesional,393
BISTRITA,2019,inv_profesional,514
BOTOSANI,2019,inv_profesional,550
BRAILA,2019,inv_profesional,436
BRASOV,2019,inv_profesional,449
BUZAU,2019,inv_profesional,1447
CALARASI,2019,inv_profesional,328
CARAS,2019,inv_profesional,400
CLUJ,2019,inv_profesional,676
CONSTANTA,2019,inv_profesional,488
COVASNA,2019,inv_profesional,163
DAMBOVITA,2019,inv_profesional,803
DOLJ,2019,inv_profesional,1837
GALATI,2019,inv_profesional,1372
GIURGIU,2019,inv_profesional,120
GORJ,2019,inv_profesional,849
HARGHITA,2019,inv_profesional,472
HUNEDOARA,2019,inv_profesional,1132
IALOMITA,2019,inv_profesional,669
IASI,2019,inv_profesional,1875
ILFOV,2019,inv_profesional,63
MARAMURES,2019,inv_profesional,630
MEHEDINTI,2019,inv_profesional,809
MUN. BUC.,2019,inv_profesional,2764
MURES,2019,inv_profesional,523
NEAMT,2019,inv_profesional,1673
OLT,2019,inv_profesional,1318
PRAHOVA,2019,inv_profesional,1030
SALAJ,2019,inv_profesional,466
SATU M.,2019,inv_profesional,172
SIBIU,2019,inv_profesional,358
SUCEAVA,2019,inv_profesional,1877
TELEORMAN,2019,inv_profesional,1300
TIMIS,2019,inv_profesional,506
TULCEA,2019,inv_profesional,325
VALCEA,2019,inv_profesional,989
VASLUI,2019,inv_profesional,2899
VRANCEA,2019,inv_profesional,494
Total general,2019,inv_profesional,36242
ALBA ,2020,inv_profesional,1087
ARAD,2020,inv_profesional,711
ARGES,2020,inv_profesional,1777
BACAU,2020,inv_profesional,1110
BIHOR,2020,inv_profesional,801
BISTRITA,2020,inv_profesional,766
BOTOSANI,2020,inv_profesional,647
BRAILA,2020,inv_profesional,503
BRASOV,2020,inv_profesional,826
BUZAU,2020,inv_profesional,1765
CALARASI,2020,inv_profesional,474
CARAS,2020,inv_profesional,561
CLUJ,2020,inv_profesional,1256
CONSTANTA,2020,inv_profesional,700
COVASNA,2020,inv_profesional,464
DAMBOVITA,2020,inv_profesional,1012
DOLJ,2020,inv_profesional,2071
GALATI,2020,inv_profesional,1771
GIURGIU,2020,inv_profesional,177
GORJ,2020,inv_profesional,882
HARGHITA,2020,inv_profesional,761
HUNEDOARA,2020,inv_profesional,1194
IALOMITA,2020,inv_profesional,637
IASI,2020,inv_profesional,2351
ILFOV,2020,inv_profesional,81
MARAMURES,2020,inv_profesional,770
MEHEDINTI,2020,inv_profesional,876
MUN. BUC.,2020,inv_profesional,2839
MURES,2020,inv_profesional,848
NEAMT,2020,inv_profesional,1870
OLT,2020,inv_profesional,1461
PRAHOVA,2020,inv_profesional,1804
SALAJ,2020,inv_profesional,609
SATU M.,2020,inv_profesional,388
SIBIU,2020,inv_profesional,949
SUCEAVA,2020,inv_profesional,2269
TELEORMAN,2020,inv_profesional,1354
TIMIS,2020,inv_profesional,641
TULCEA,2020,inv_profesional,416
VALCEA,2020,inv_profesional,1119
VASLUI,2020,inv_profesional,2228
VRANCEA,2020,inv_profesional,592
Total general,2020,inv_profesional,45418
ALBA ,2024,inv_profesional,860
ARAD,2024,inv_profesional,304
ARGES,2024,inv_profesional,1265
BACAU,2024,inv_profesional,892
BIHOR,2024,inv_profesional,426
BISTRITA,2024,inv_profesional,686
