judet,an,categorie_varsta,numar_someri
MUNICIPIUL BUCURESTI,2020,30_39,3686
MURES,2020,30_39,1208
NEAMT,2020,30_39,1275
OLT,2020,30_39,1254
PRAHOVA,2020,30_39,1471
SALAJ,2020,30_39,1023
SATU-MARE,2020,30_39,1128
SIBIU,2020,30_39,995
SUCEAVA,2020,30_39,1924
TELEORMAN,2020,30_39,1454
TIMIS,2020,30_39,611
TULCEA,2020,30_39,462
VALCEA,2020,30_39,844
VASLUI ,2020,30_39,1151
VRANCEA,2020,30_39,856
TOTAL,2020,30_39,49174
ALBA,2024,30_39,1022
ARAD,2024,30_39,516
ARGES,2024,30_39,1600
BACAU,2024,30_39,785
BIHOR,2024,30_39,987
BISTRITA NASAUD,2024,30_39,661
BOTOSANI,2024,30_39,810
BRAILA,2024,30_39,760
BRASOV,2024,30_39,1564
BUZAU,2024,30_39,920
CALARASI,2024,30_39,861
CARAS-SEVERIN,2024,30_39,451
CLUJ,2024,30_39,930
CONSTANTA,2024,30_39,753
COVASNA,2024,30_39,753
DAMBOVITA,2024,30_39,999
DOLJ,2024,30_39,3639
GALATI,2024,30_39,1419
GIURGIU,2024,30_39,342
GORJ,2024,30_39,647
HARGHITA,2024,30_39,1204
HUNEDOARA,2024,30_39,1312
IALOMITA,2024,30_39,794
IASI,2024,30_39,1720
ILFOV,2024,30_39,188
MARAMURES,2024,30_39,954
MEHEDINTI,2024,30_39,964
MUNICIPIUL BUCURESTI,2024,30_39,2384
MURES,2024,30_39,1497
NEAMT,2024,30_39,1342
OLT,2024,30_39,1114
PRAHOVA,2024,30_39,1104
SALAJ,2024,30_39,1165
SATU-MARE,2024,30_39,1347
SIBIU,2024,30_39,1275
SUCEAVA,2024,30_39,2512
TELEORMAN,2024,30_39,1772
TIMIS,2024,30_39,578
TULCEA,2024,30_39,483
VALCEA,2024,30_39,398
VASLUI ,2024,30_39,1441
VRANCEA,2024,30_39,450
TOTAL,2024,30_39,46417
ALBA,2019,40_49,1310
ARAD,2019,40_49,559
ARGES,2019,40_49,2059
BACAU,2019,40_49,2721
BIHOR,2019,40_49,896
BISTRITA NASAUD,2019,40_49,834
BOTOSANI,2019,40_49,1059
BRAILA,2019,40_49,1327
BRASOV,2019,40_49,1324
BUZAU,2019,40_49,3246
CALARASI,2019,40_49,843
CARAS-SEVERIN,2019,40_49,874
CLUJ,2019,40_49,1195
CONSTANTA,2019,40_49,1354
COVASNA,2019,40_49,618
DAMBOVITA,2019,40_49,1513
DOLJ,2019,40_49,5388
GALATI,2019,40_49,3285
GIURGIU,2019,40_49,355
GORJ,2019,40_49,1215
HARGHITA,2019,40_49,1254
HUNEDOARA,2019,40_49,1613
IALOMITA,2019,40_49,1274
IASI,2019,40_49,2272
ILFOV,2019,40_49,248
MARAMURES,2019,40_49,1513
MEHEDINTI,2019,40_49,2375
MUNICIPIUL BUCURESTI,2019,40_49,4633
MURES,2019,40_49,1493
NEAMT,2019,40_49,2116
OLT,2019,40_49,2513
PRAHOVA,2019,40_49,1885
SALAJ,2019,40_49,1049
SATU-MARE,2019,40_49,934
SIBIU,2019,40_49,860
SUCEAVA,2019,40_49,2791
TELEORMAN,2019,40_49,2608
TIMIS,2019,40_49,818
TULCEA,2019,40_49,595
VALCEA,2019,40_49,1358
VASLUI ,2019,40_49,3528
VRANCEA,2019,40_49,1286
TOTAL,2019,40_49,70991
ALBA,2020,40_49,1561
ARAD,2020,40_49,1143
ARGES,2020,40_49,3016
BACAU,2020,40_49,2804
BIHOR,2020,40_49,1432
BISTRITA NASAUD,2020,40_49,965
BOTOSANI,2020,40_49,1017
BRAILA,2020,40_49,1303
BRASOV,2020,40_49,1580
BUZAU,2020,40_49,3452
CALARASI,2020,40_49,967
CARAS-SEVERIN,2020,40_49,983
CLUJ,2020,40_49,1813
CONSTANTA,2020,40_49,1476
COVASNA,2020,40_49,995
DAMBOVITA,2020,40_49,1526
DOLJ,2020,40_49,5395
GALATI,2020,40_49,3313
GIURGIU,2020,40_49,469
GORJ,2020,40_49,1251
HARGHITA,2020,40_49,1398
HUNEDOARA,2020,40_49,1960
IALOMITA,2020,40_49,1161
IASI,2020,40_49,2568
ILFOV,2020,40_49,188
MARAMURES,2020,40_49,1203
MEHEDINTI,2020,40_49,2143
MUNICIPIUL BUCURESTI,2020,40_49,4387
MURES,2020,40_49,1501
NEAMT,2020,40_49,2137
OLT,2020,40_49,2578
